Route ID,Route Description,Route Description Marathi,Kilometer
180-U,Na Ta Wadi To Bhekrainagar,नतावाडी ते भेकराई नगर,15.5
181A-D,SRP Camp To Na Ta Wadi,एस आर पी कॅम्प ते नतावाडी,12.3
181A-U,Na Ta Wadi To SRP Camp,नतावाडी ते एस आर पी कॅम्प,12.3
181B-D,Siddharthnagar To Na Ta Wadi,सिध्दार्थनगर ते नतावाडी,11.5
181B-U,Na Ta Wadi To Siddharthnagar,नतावाडी ते सिध्दार्थनगर,11.5
181C-D,Kondhwa Bk To Na Ta Wadi,कोंढवा बु. ते नतावाडी,13.8
181C-U,Na Ta Wadi To Kondhwa Bk,नतावाडी ते कोंढवा बु.,13.8
181-D,Kondhwa Kh To Na Ta Wadi,कोंढवा खुर्द ते नतावाडी,11.5
181-U,Na Ta Wadi To Kondhwa Kh,नतावाडी ते कोंढवा खुर्द,11.5
183A-D,Theur Factory To Sarasbaug,थेऊर फॅक्टरी ते सारसबाग,27.9
183A-U,Sarasbaug To Theur Factory,सारसबाग ते थेऊर फॅक्टरी,27.9
183-D,Theur To Hadapsar Gadital,थेऊर गांव ते हडपसर गाडीतळ,17.4
183-U,Hadapsar Gadital To Theur,हडपसर गाडीतळ ते थेऊर गांव,14.7
184A-D,Bhekrainagar To Swargate,भेकराई नगर ते स्वारगेट,12.1
184A-NGT-D,Hadapsar Gadital To Swargate,हडपसर गाडीतळ ते स्वारगेट,9.5
184A-NGT-U,Swargate To Hadapsar Gadital,स्वारगेट ते हडपसर गाडीतळ,9.5
184A-U,Swargate To Bhekrainagar,स्वारगेट ते भेकराई नगर,12.1
184B-D,Fursungi To Swargate,फुरूसूंगी ते स्वारगेट,15.3
184B-U,Swargate To Fursungi,स्वारगेट ते फुरूसूंगी,15.3
184-D,Fursungi To Padmawati,फुरूसूंगी ते पद्मावती,19.6
184-U,Padmawati To Fursungi,पद्मावती ते फुरूसूंगी,16.9
185-D,Manjari Kh To Hadapsar Gadital,मांजरी खुर्द ते हडपसर गाडीतळ,8.3
185-U,Hadapsar Gadital To Manjari Kh,हडपसर गाडीतळ ते मांजरी खुर्द,8.3
186A-D,Swargate To Jspm College,स्वारगेट ते जे एस पी एम कॉलेज,13.3
186A-U,Jspm College To Swargate,जे एस पी एम कॉलेज ते स्वारगेट,13.3
186B-D,Hadapsar Gadital To JSPM college,हडपसर गाडीतळ ते जे एस पी एम कॉलेज,4.7
186B-U,JSPM college To Hadapsar Gadital,जे एस पी एम कॉलेज ते हडपसर गाडीतळ,4.7
186-D,Pune Station To Jspm College,पुणे स्टेशन ते जे एस पी एम कॉलेज,14.2
186-U,Jspm College To Pune Station,जे एस पी एम कॉलेज ते पुणे स्टेशन,14.2
187-D,Pune Station To Bhekrainagar,पुणे स्टेशन ते भेकराई नगर,15
187-U,Bhekrainagar To Pune Station,भेकराई नगर ते पुणे स्टेशन,15
188-D,Katraj To Hadapsar Gadital,कात्रज ते हडपसर गाडीतळ,18
